What was the Job Role?,Correctness,Relevancy,Conciseness
Data Scientist,Model A,Model B,Model B
Frontend Developer,Both,Model A,Both
Software Engineer,Both,Model B,Model B
data scientist,Model A,Model A,Model A
Data Steward,Both,Model B,Both
Data analyst,Both,Model A,Model A
Sales manager,Model A,Model A,Model A
Data science professor,Model B,Model B,Both
cloud solution architect,Model A,Model A,Model A
data engineer,Model B,Both,Model A
data engineer,Model A,Model A,Model A
Full stack developer,Model A,Model A,None
python developer,Both,Model A,None
Data Engineer ,Model A,Model A,Model A
Event Planner,Both,Model B,Model B
System Engineer ,Both,Model A,Model A
